timestamp,hour,minute,day_of_week,people_count,csi_variance,piezo_voltage,piezo_avg_watt
2026-09-06 00:00:00,0,0,6,0,5.1064,0.035,0.0019
2026-09-06 00:01:00,0,1,6,0,5.4406,0.024,0.0002
2026-09-06 00:02:00,0,2,6,0,6.2218,0.042,0.0015
2026-09-06 00:03:00,0,3,6,0,4.6662,0.042,0.0007
2026-09-06 00:04:00,0,4,6,0,7.1995,0.032,0.0
2026-09-06 00:05:00,0,5,6,0,7.5084,0.03,0.0
2026-09-06 00:06:00,0,6,6,0,7.4008,0.025,0.0015
2026-09-06 00:07:00,0,7,6,0,4.4761,0.032,0.0014
2026-09-06 00:08:00,0,8,6,0,7.7483,0.017,0.0
2026-09-06 00:09:00,0,9,6,0,9.3223,0.012,0.0013
2026-09-06 00:10:00,0,10,6,0,7.745,0.033,0.0015
2026-09-06 00:11:00,0,11,6,0,5.1452,0.005,0.0007
2026-09-06 00:12:00,0,12,6,0,4.9993,0.022,0.0014
2026-09-06 00:13:00,0,13,6,0,7.3534,0.005,0.0
2026-09-06 00:14:00,0,14,6,0,6.6075,0.044,0.0016
2026-09-06 00:15:00,0,15,6,0,5.3636,0.042,0.0003
2026-09-06 00:16:00,0,16,6,0,6.7949,0.018,0.0016
2026-09-06 00:17:00,0,17,6,0,5.2982,0.001,0.0001
2026-09-06 00:18:00,0,18,6,0,7.4641,0.019,0.0014
2026-09-06 00:19:00,0,19,6,0,6.6758,0.022,0.0019
2026-09-06 00:20:00,0,20,6,0,8.1749,0.032,0.0016
2026-09-06 00:21:00,0,21,6,1,5.7799,0.042,0.0017
2026-09-06 00:22:00,0,22,6,0,8.955,0.04,0.0003
2026-09-06 00:23:00,0,23,6,0,4.2255,0.003,0.0019
2026-09-06 00:24:00,0,24,6,0,6.3905,0.034,0.0015
2026-09-06 00:25:00,0,25,6,0,5.4256,0.017,0.0004
2026-09-06 00:26:00,0,26,6,1,6.6092,0.008,0.0012
2026-09-06 00:27:00,0,27,6,1,4.8367,0.022,0.0019
2026-09-06 00:28:00,0,28,6,0,5.0941,0.01,0.0003
2026-09-06 00:29:00,0,29,6,0,4.0775,0.031,0.0015
2026-09-06 00:30:00,0,30,6,0,4.5347,0.038,0.0001
2026-09-06 00:31:00,0,31,6,0,4.8655,0.045,0.0014
2026-09-06 00:32:00,0,32,6,0,8.1408,0.04,0.0008
2026-09-06 00:33:00,0,33,6,0,6.045,0.043,0.0013
2026-09-06 00:34:00,0,34,6,0,6.0094,0.012,0.0013
2026-09-06 00:35:00,0,35,6,0,7.5901,0.021,0.0011
2026-09-06 00:36:00,0,36,6,0,4.7528,0.03,0.0017
2026-09-06 00:37:00,0,37,6,0,6.061,0.042,0.0001
2026-09-06 00:38:00,0,38,6,0,5.9235,0.037,0.0017
2026-09-06 00:39:00,0,39,6,0,5.8479,0.03,0.0014
2026-09-06 00:40:00,0,40,6,0,8.7008,0.023,0.0006
2026-09-06 00:41:00,0,41,6,0,6.0275,0.006,0.0001
2026-09-06 00:42:00,0,42,6,0,4.4898,0.01,0.0009
2026-09-06 00:43:00,0,43,6,0,4.6981,0.024,0.0008
2026-09-06 00:44:00,0,44,6,0,8.3474,0.004,0.0014
2026-09-06 00:45:00,0,45,6,0,4.6262,0.04,0.0001
2026-09-06 00:46:00,0,46,6,0,5.929,0.005,0.0008
2026-09-06 00:47:00,0,47,6,0,6.3679,0.035,0.0011
2026-09-06 00:48:00,0,48,6,0,9.0263,0.04,0.0011
2026-09-06 00:49:00,0,49,6,0,9.0847,0.009,0.0015
2026-09-06 00:50:00,0,50,6,0,8.1667,0.043,0.0019
2026-09-06 00:51:00,0,51,6,0,6.725,0.008,0.0019
2026-09-06 00:52:00,0,52,6,0,9.1128,0.014,0.0019
2026-09-06 00:53:00,0,53,6,0,5.2101,0.036,0.0018
2026-09-06 00:54:00,0,54,6,1,8.4245,0.024,0.0005
2026-09-06 00:55:00,0,55,6,0,5.125,0.009,0.0004
2026-09-06 00:56:00,0,56,6,0,6.7636,0.024,0.002
2026-09-06 00:57:00,0,57,6,0,8.4011,0.023,0.001
2026-09-06 00:58:00,0,58,6,0,5.664,0.044,0.0011
2026-09-06 00:59:00,0,59,6,0,8.8904,0.006,0.0001
2026-09-06 01:00:00,1,0,6,0,4.2621,0.042,0.0007
