Timestamp,Sim Time,Uptime,Voltage (V),Current (A),Power (W),Cumulative Gen (Wh),SOC (%),Power Source,Step Status
2026-09-05 17:18:32,14:30,609s,0.106549,0.000107,1.1e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,609s,0.093842,9.4e-05,8.806253e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,609s,0.087977,8.8e-05,7.739871e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,609s,0.093842,9.4e-05,8.806253e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,609s,0.102639,0.000103,1.1e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,610s,0.099707,0.0001,9.941436e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,610s,0.088954,8.9e-05,7.912824e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,610s,0.088954,8.9e-05,7.912824e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,610s,0.095797,9.6e-05,9.177003e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,610s,0.103617,0.000104,1.1e-05,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,610s,0.090909,9.1e-05,8.264464e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,610s,0.080156,8e-05,6.425048e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,610s,0.084066,8.4e-05,7.067172e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,611s,0.096774,9.7e-05,9.365243e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,611s,0.098729,9.9e-05,9.747461e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,611s,0.082111,8.2e-05,6.742288e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,611s,0.082111,8.2e-05,6.742288e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,611s,0.084066,8.4e-05,7.067172e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,611s,0.093842,9.4e-05,8.806253e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:32,14:30,611s,0.085044,8.5e-05,7.23248e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:32,14:30,611s,0.076246,7.6e-05,5.813504e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:33,14:30,612s,0.075269,7.5e-05,5.665395e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:33,14:30,612s,0.079179,7.9e-05,6.269296e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:33,14:30,612s,0.082111,8.2e-05,6.742288e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:33,14:30,612s,0.071359,7.1e-05,5.092071e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:33,14:30,612s,0.068426,6.8e-05,4.682145e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:33,14:30,612s,0.052786,5.3e-05,2.786354e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:33,14:30,612s,0.058651,5.9e-05,3.439943e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:33,14:30,612s,0.080156,8e-05,6.425048e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:34,14:30,613s,0.101662,0.000102,1e-05,1e-05,50,harvested,IDLE
2026-09-05 17:18:34,14:30,613s,0.197458,0.000197,3.9e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:34,14:30,613s,0.420332,0.00042,0.000177,1e-05,50,harvested,IDLE
2026-09-05 17:18:34,14:30,613s,0.379277,0.000379,0.000144,1e-05,50,harvested,PRESSED
2026-09-05 17:18:34,14:30,613s,0.16911,0.000169,2.9e-05,1e-05,50,harvested,IDLE
2026-09-05 17:18:34,14:30,613s,0.244379,0.000244,6e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:34,14:30,613s,0.228739,0.000229,5.2e-05,1e-05,50,harvested,IDLE
2026-09-05 17:18:34,14:30,613s,0.013685,1.4e-05,1.872858e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:35,14:30,614s,0.067449,6.7e-05,4.549325e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:35,14:30,614s,0.098729,9.9e-05,9.747461e-06,1e-05,50,harvested,IDLE
2026-09-05 17:18:35,14:30,614s,0,0,0,1e-05,50,harvested,IDLE
2026-09-05 17:18:35,14:30,614s,0.134897,0.000135,1.8e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:35,14:30,614s,0.020528,2.1e-05,4.21393e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:35,14:30,614s,0.061584,6.2e-05,3.792537e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:35,14:30,614s,0.237537,0.000238,5.6e-05,1e-05,50,harvested,IDLE
2026-09-05 17:18:35,14:30,614s,0.115347,0.000115,1.3e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:36,14:30,615s,0.001955,1.955034e-06,3.822159e-09,1e-05,50,harvested,IDLE
2026-09-05 17:18:36,14:30,615s,0.27957,0.00028,7.8e-05,1e-05,50,harvested,PRESSED
2026-09-05 17:18:36,14:30,615s,0,0,0,1e-05,50,harvested,IDLE
2026-09-05 17:18:36,14:30,615s,0,0,0,1e-05,50,harvested,IDLE
2026-09-05 17:18:36,14:30,615s,0.086999,8.7e-05,7.568829e-06,1e-05,50,harvested,PRESSED
2026-09-05 17:18:36,14:30,615s,0.371457,0.000371,0.000138,1e-05,50,harvested,IDLE
2026-09-05 17:18:36,14:30,615s,0.000978,9.775171e-07,9.555396e-10,1e-05,50,harvested,IDLE
2026-09-05 17:18:36,14:30,615s,0.01173,1.2e-05,1.375977e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.016618,1.7e-05,2.76151e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.018573,1.9e-05,3.449499e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.017595,1.8e-05,3.095949e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.017595,1.8e-05,3.095949e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.017595,1.8e-05,3.095949e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.016618,1.7e-05,2.76151e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.016618,1.7e-05,2.76151e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:37,14:30,616s,0.016618,1.7e-05,2.76151e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:38,14:30,617s,0.016618,1.7e-05,2.76151e-07,1e-05,50,harvested,IDLE
2026-09-05 17:18:38,14:30,617s,0.017595,1.8e-05,3.095949e-07,1e-05,50,harvested,IDLE
