timestamp,day_of_week,hour,minute,csi_variance,device_count_raw,people_count,piezo_voltage,piezo_avg_watt
2026-10-05 08:00:00,0,8,0,2.6161,3.0,3.0,0.1261,1.6e-05
2026-10-05 08:00:30,0,8,0,2.0392,4.0,4.0,0.071359,5.092071e-06
2026-10-05 08:01:00,0,8,1,2.6936,4.0,4.0,0.312805,9.8e-05
2026-10-05 08:01:30,0,8,1,1.9062,5.0,5.0,0.194526,3.8e-05
2026-10-05 08:02:00,0,8,2,1.8595,3.0,3.0,0.31085,9.7e-05
2026-10-05 08:02:30,0,8,2,33.8436,6.0,6.0,0.086022,7.399699e-06
2026-10-05 08:03:00,0,8,3,17.7199,3.0,3.0,0.093842,8.806253e-06
2026-10-05 08:03:30,0,8,3,2.8415,5.0,5.0,0.093842,8.806253e-06
2026-10-05 08:04:00,0,8,4,61.5952,5.0,5.0,0.076246,5.813504e-06
2026-10-05 08:04:30,0,8,4,2.9616,4.0,4.0,0.420332,0.000177
2026-10-05 08:05:00,0,8,5,85.6694,4.0,4.0,0.076246,5.813504e-06
2026-10-05 08:05:30,0,8,5,6.5119,4.0,4.0,0.090909,8.264464e-06
2026-10-05 08:06:00,0,8,6,7.8172,6.0,6.0,0.115347,1.3e-05
2026-10-05 08:06:30,0,8,6,19.8017,7.0,7.0,0.135875,1.8e-05
2026-10-05 08:07:00,0,8,7,3.1942,3.0,3.0,0.255132,6.5e-05
2026-10-05 08:07:30,0,8,7,1.7172,4.0,4.0,0.321603,0.000103
2026-10-05 08:08:00,0,8,8,0.499,5.0,5.0,0.167155,2.8e-05
2026-10-05 08:08:30,0,8,8,4.1164,3.0,3.0,0.255132,6.5e-05
2026-10-05 08:09:00,0,8,9,10.8883,5.0,5.0,0.13783,1.9e-05
2026-10-05 08:09:30,0,8,9,3.8853,5.0,5.0,0.040078,1.606262e-06
2026-10-05 08:10:00,0,8,10,18.9468,4.0,4.0,0.229717,5.3e-05
2026-10-05 08:10:30,0,8,10,8.6451,8.0,8.0,0.317693,0.000101
2026-10-05 08:11:00,0,8,11,3.6051,3.0,3.0,0.070381,4.953518e-06
